name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
CryptoPunks,https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120,ETH,,3427,9999,2.504804560415711,11627.819993999997677747,-0.6249496441520076,502.739999999999952252,-0.3042167084524825,865010.922843307722359896
Bored Ape Yacht Club,https://lh3.googleusercontent.com/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB=s120,ETH,95.88,6382,9999,1.4651801384240006,11822.656600000000253203,-0.7023839161030055,1201.450000000000045475,-0.5411205379865824,425366.372401188709773123
Invisible Friends,https://lh3.googleusercontent.com/lW22aEwUE0IqGaYm5HRiMS8DwkDwsdjPpprEqYnBqo2s7gSR-JqcYOjU9LM6p32ujG_YAEd72aDyox-pdCVK10G-u1qZ3zAsn2r9=s120,ETH,7.29,4142,5000,-0.7846079292789179,1477.827399000000468732,0.912162162162162,246.917499999999961346,0,31549.07934224799828371
Azuki,https://lh3.googleusercontent.com/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT=s120,ETH,9.3,5579,10000,-0.2971196388080553,2693.276900000001660374,0.14415213234073287,489.951000000000021828,-0.7466056522626969,128752.157179760615690611
3Landers,https://lh3.googleusercontent.com/jM8itRiSM3hI8RWokMkhR97JdoIzukU3DUEO-9MD3i6r6DnTBW6efbv1617zES0MfoiWzW4f3UaL9lgRr61vf3Cj4DDPIsk_XjNBXQ=s120,ETH,1.878,5431,10000,-0.48928818616876346,1408.294896670655134585,-0.04164880517537371,186.673299999990035758,0,23940.2529340953733481
CLONE X - X TAKASHI MURAKAMI,https://lh3.googleusercontent.com/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg=s120,ETH,11.99,8563,19083,-0.2891836350801381,3712.652231999999457912,0.20768760476812675,416.205500000000029104,-0.664488639217017,141579.991257756511913612
Mutant Ape Yacht Club,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120,ETH,19.38,11850,18007,1.1227070192477089,6819.254355370239863987,-0.22084161504870115,1023.923199999900134571,-0.6066400046111983,260855.300735138094751164
NFT Worlds,https://lh3.googleusercontent.com/DIafQlRW63pQ8UJqmdQBBOHZcubAE9rAkbovVx_WU_-TmIg3hF7z0y60gUGvah85_uYVgBxmhNfWUXwajaUmYZsrCPp8ZdYE0Z-wrt0=s120,ETH,10.6,1291,10000,0.12733091719253284,2217.031641102271805721,-0.020842802415427804,150.799999999999982947,1.841180598309577,38317.675656077975872904
mfers,https://lh3.googleusercontent.com/J2iIgy5_gmA8IS6sXGKGZeFVZwhldQylk7w7fLepTE9S7ICPCn_dlo8kypX8Ju0N6wvLVOKsbP_7bNGd8cpKmWhFQmqMXOC8q2sOdqw=s120,ETH,3.14,5075,10020,-0.041846764524769174,1628.011165067415959129,-0.5749197327501115,192.932058154327876309,2.3781050654679903,26688.85012739390367642
CyberBrokers,https://lh3.googleusercontent.com/Qd1IEPYz_0YlMaclPwb6_9PyP7afZIzH15IdIU2X6t1Wvg81DwpAaWOY0cNmxy173C4yMA7sM3xF9-HJsCSKJdx6KvDR3old3IKuTIc=s120,ETH,2.95,3695,9986,0.39848309233616236,10160.739604594977208762,-0.2470214197671945,207.691061588529464643,0,17426.28300678352752584
tubby cats by tubby collective,https://lh3.googleusercontent.com/XHZY9623keDQqFSDHKqOdcjD99Y7N82K1egYRM2Mm1Z-Jxn5myrkKiC5NBktWKStVtTzDzwELy9dNpzTWJTIkLsdMIxUHI86jduQ=s120,ETH,0.4,9895,20000,-0.2711829568964519,513.461062270229717797,-0.3091542906462748,90.746600000000043451,0,15026.925803069301764481
Meebits,https://lh3.googleusercontent.com/d784iHHbqQFVH1XYD6HoT4u3y_Fsu_9FZUltWjnOzoYv7qqB5dLUqpGyHBd8Gq3h4mykK5Enj8pxqOUorgD2PfIWcVj9ugvu8l0=s120,ETH,4.7,6025,20000,15.531991614609497,10561.211488392478713649,-0.5998318302123994,373.579600000000027649,2.8813388877027672,95707.826359639730071649
The Sandbox,https://lh3.googleusercontent.com/SXH8tW1siikB80rwCRnjm1a5xM_MwTg9Xl9Db6mioIk9HIlDM09pVoSR7GKJgS6ulSUpgW9BDtMk_ePX_NKgO9A=s60,ETH,2.94,20295,167378,-0.05493392419095257,2025.028224581390304593,0.46613127615058886,254.55714499999996292,-0.5039764889134881,155991.902831009996589273
Doodles,https://lh3.googleusercontent.com/7B0qai02OdHA8P_EOVK672qUliyjQdQDGNrACxs7WnTgZAkJa_wWURnIFKeOh5VTf8cfTqW3wQpozGedaC9mteKphEOtztls02RlWQ=s120,ETH,12.8,4062,10000,0.5464500091589852,2726.004599000000780507,0.7133993711478254,753.636999999999829924,-0.46053620797597355,89304.46178397603216581
Tasty Bones XYZ,https://lh3.googleusercontent.com/pFx2k4GbEd30FbIPOGagqG646QGUk-0Ns8n6kSgozxY4aJSI2AYm1a_Acvu0jngeIx7hSeZeZTHLKUiUEt9qXfE-DWRmJyZJQ_AnKA=s120,ETH,0.52,3464,5049,-0.3714254724627202,135.035047800000000962,-0.18239154256113976,13.13209999999999944,0,9976.252962897562611033
RTFKT - MNLTH,https://lh3.googleusercontent.com/gp39NTyxBPazqowYV9XTFxAU4eNk1i7FlmonHW4Zr7eS9UxEvrZ7f04rOLEhDxcuGxsbUx1Rm_N6Ky_Dp4A1ZQYHFAaEWj5YdBF0qg=s120,ETH,4.7999,8910,1,-0.2521847175319348,1297.790199000000484375,0.9634660709000544,198.356999999999999318,-0.01384592267824786,18176.129627698723197682
WonderPals,https://lh3.googleusercontent.com/DA_iUjt7S9PdmAANh0aqMkxYVhvGogTuKbMSzFO3uEnbvRRt5hn1B8DuN50HQpkRtH34QX7EOYYKIayz1q5KgZWfgLedNo7xBQzK=s120,ETH,0.585,6963,10000,-0.8562433833573048,662.387939267700517121,-0.6766125930588258,67.650798989999955779,0,8947.464474578249792103
Karafuru,https://lh3.googleusercontent.com/VMG3VFncJG-pyqsRAwQznZGqYDw4RkPjJnJNJwrDERFhD4pWLh82q66JJ8Qh0vCPoovjoyigJwLqfFpa5tMAVV5ASIiR5nF1XkQFpec=s120,ETH,2.7,3670,5553,-0.26761270414989025,532.223649999999906868,2.5904724640516474,183.526999999999958391,-0.6866739665169554,36549.486076743953162804
Edenhorde,https://lh3.googleusercontent.com/jrJiN_NEI5ySl1EV8V6qjPA4zErIe4lWpsqWb5RoqaNlsx_nm3tKI4HLgDVHjzvHN3PSx0NfYwbO49YVucd1J5W3-dfcN-dqUEFY5A=s120,ETH,0.3777,3413,8680,-0.5899055509779261,118.070214900000053149,0.06760364456845623,6.198400000000000354,0,8417.399564852148614591
Antonym: GENESIS,https://lh3.googleusercontent.com/VvaQMGvYpCRISPBOo4ZgI-9xmZq2XZnRtp3veKYMFinA1jN8Ab0EsVRKWQm0rIy8kN8qdibhDUe7lxVZKuMgg57bzo3mOANKb6b9tQ=s120,ETH,0.599,5321,8888,-0.41563313178428674,2863.777032869041249796,-0.7334791721591822,432.848476582608441277,0,7764.426245945091068279
CatBlox Genesis Collection,https://lh3.googleusercontent.com/ruiSdBeZwFASTXoEuKtOQECfEj23sNlkJT-oHMN907STbDjqT3lvvZFDjCNcy8ynGb9yLDkFip0bf_Ed_8eCRpbsSO_s6dBKNfRcnA=s120,ETH,0.239,5091,9999,-0.7562149157930235,137.113170000000081927,1.418619774595,23.058999999999997499,0,7585.584960293517724494
Starcatchers,https://lh3.googleusercontent.com/uRZrWesOYmPJBCQV-YFcGslv6HncNKMmSkMCtUxGI1uOLVm713TPmN9BIs35-jEg8dXvgUnhxy0Udyj4qwZjNPliNSTP5DtiS7vkXw=s120,ETH,0.2679,5622,10000,-0.5659450929408135,287.773405639927943866,0.11377131090028209,20.050099999999996925,0,7330.182269870809250278
Cool Pets NFT,https://lh3.googleusercontent.com/dNMaqYrBRTBWeTQOJsKg0IedkMSS_SB37x1ivbcydSWur1Pv3_sETgQYQdeCgp8Iv4gTT60xz8pnWkfAJF7HwHibOfB94wT5l2WJ2Q=s120,ETH,1.3199,10201,18663,-0.0630711898873785,666.375146550523595579,0.6102255394796161,94.654693000000008851,-0.4658213568732799,20570.212688673487718916
Worldwide Webb Land,https://lh3.googleusercontent.com/Tc7kJNU7hcpmCCykek6ANVhWervl1zhbNIlM_T3VSR1hsSCrOGG6IiNALSs8v-OgUVJvoKW6tVbJWjnJti_o0ihvUNlxFWfZV9V9=s120,ETH,1.85,4877,9508,-0.5021882460550815,484.830319999999915126,0.2000971430709177,96.236989999999963175,0.8703325481190195,20315.154657733895874117
Cool Cats NFT,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,ETH,7.99,5329,9941,0.2210657910739134,1246.99610000000097898,-0.4428112143564602,106.099999999999994316,-0.5014945460110997,90882.352692407497670501
Dippies,https://lh3.googleusercontent.com/ltLmL2_T4KKONimcbknNYs3SeQoKLCKgE429Y39zSMIpvEIy8PW8xXMnztPCehNCktTGhJAsKIzksM070xfmhFhsIyrs0U05N50q=s120,ETH,0.352,5574,8888,-0.8019425521329862,1126.601112947319279556,-0.18423695899803977,47.272933444444433349,0,6814.855329490599615383
Coolman's Universe,https://lh3.googleusercontent.com/E2qCzhIiOS7mfw-vkPU3ROBTbNMeSaC47DLYXd9qiV275KGgciNbbKFgpffwOEpTTJ9JHHztmv1nnh6bOo0KpoFueK4EitHJzsqX=s120,ETH,1.42,5675,10000,3.167030160837523,1660.511760586603259071,-0.8900267530717468,131.135400000000061027,0.2559306361688834,20772.473795271413109731
T-O-S The Other Side,https://lh3.googleusercontent.com/A77NOhBXYcgBIGygV2SqvYNcJnjgJ8q64GKl2Zm5WeU9xrmZfLq0uzb6gHkMHRf01l19_OVi0d3o9S5DwY4hvZqdgQi7_YjNShbtrGk=s120,ETH,0.29,1309,8888,-0.37738755537732216,123.792001899999945635,0.36086015350087275,24.55740189999999501,9.027535925841239,7082.53706323288497515
The Doggies (Snoop Dogg),https://lh3.googleusercontent.com/ufumJQN9NwT0U5jh_suJP5cLRIjyE38hirVdBChQLe-ghnt1RomIARfxSNmR6fdMQC0OIgjVQHhhduUfcxiRVrfHpihrXSW-SU5J=s120,ETH,0.378,6833,10000,-0.6963220156267045,201.277438036856722192,-0.09188079647070264,32.2593000000000103,0,6387.977658328009056277
DEGEN TOONZ COLLECTION,https://lh3.googleusercontent.com/3Rk7PFs3XX1ja50aKi8lxh9x67yNX5kZLti7gPlHvWsS7iuXSUdQGctoOXtto7uLLLnvwxe1uhWN6WmmZvVWCcQ-Qm7a8K2KFmEZJC4=s120,ETH,0.539,4242,8888,-0.6167151180152783,552.152644487867632961,0.13419727041716123,72.903499999999979764,0,6079.29018375131454377
HOWLERZ,https://lh3.googleusercontent.com/x6hvOIWMQoPlIGwDAhpZCm4NesFGCwtrF6tv7UNu6vDasx6WxqW80WZ7w_vvMd6rVil6orhfeBmCk9GDGVUCYfP78gzFDb30usxWOA=s120,ETH,0.334444,2298,5000,-0.710898525294577,126.004990951600035487,0.08635029278103068,9.777043999999998292,0,6001.932839929535475676
DourDarcels,https://lh3.googleusercontent.com/WxBXXLXUJZwhUMPfz0o18a2gjYpU-qecO-ENOF8QXsfiBLt8TeQ8Nurmi2zLbwgwTHE-J_aZRkIqDA_OGrBSbU7ZpOV8jdjtkp-U4Q=s120,ETH,0.95,4920,10000,2.2800115401581493,4462.647442311897066247,1.105323656761355,565.258980179899594987,0,5823.20590001064556418
Quirkies Originals,https://lh3.googleusercontent.com/XS6RqsT7CBpoeX8vUmWkJYldMV6h0Ko7TpagNgFZ-nEh4yrMZFrpY4gtBqyuRDJV6mx2B0ssYxoh9Z9XlO770Xe8FNSu-kj-1EVzMQ=s120,ETH,1.35,2309,5000,2.497452856306879,1871.284445712621618441,-0.1525588558575045,83.743879631818160192,10.900698458513217,6128.702552106407893007
Metroverse,https://lh3.googleusercontent.com/sHO92R4xynTQtuC-DZ1B5qC5ZJe3n3Y46iufDza_sDXHuSj1zhhguoj-YjKN0pxh3b0Lg0Rz8Cp_BQliEh1o_-puGOVDDH8H7bzqcQ=s120,ETH,1.71,428,10000,-0.43502409537059317,792.186196101900236499,0.8176139873813342,115.564552603899997507,-0.6211522971399903,19934.547191245495923795
Pixelmon - Generation 1,https://lh3.googleusercontent.com/hqDSpTYhSy--C3l8Q0yKGGCs1h9DSwlqvNGK3WXh3QS-ce-VYWOfo-F8unGDdGhhJA6v8Vqw6mYyMr8MPecCEYHVAKXh4tn24THo=s120,ETH,0.24,5356,10005,-0.8629546443725967,157.633223462560721373,0.0975493453342799,14.535285000000001787,-0.294630943704095,13111.632421073738441919
adidas Originals Into the Metaverse,https://lh3.googleusercontent.com/_wXtGDZ07ZelRfyfqDQkhoTX_feD_w3wdFuJ25z2ZLA1R6GFzuQ2jOGURRS8d7UEJGJd1svd61tZnGRS4zN-VXTUUVmg8Wymt-Uk=s120,ETH,1.18,21808,1,-0.1656476489436481,489.738089990010280417,0.03791434852939579,67.179110000000022751,-0.08442590516520795,27371.774443892540148227
GNSS by MGXS,https://lh3.googleusercontent.com/DZWZqpzB2oziNcsKBwjLVJScJuJYOajr_hgy6p5OxM_iy4is4Rec9GDCkrRrPNwGC3kh9NamwSFlK2gd4FM9oBqCZsBGdDiDa564XCU=s120,ETH,0.91,4411,2528,0,5151.449689716302600573,-0.6728706124689872,445.734558799999717849,0,5151.449689716343527834
Psychedelics Anonymous Genesis,https://lh3.googleusercontent.com/9VndAx-5SvVdamB8KvABGcw2bdXMdeyEYdhHJ22WMV98C2yS85SDT5rnBtT0zOxVjeJ6KBz2fXKXcYSIXeOc7aGiU4i0Rx9IwaMfO9o=s120,ETH,3.23,6000,9595,0.3589528101037088,491.706309677419426407,0.08412158245415441,64.100000000000008527,0.5138364827625356,18850.943866136767610442
Decentraland,https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,ETH,3.82451937,6839,97367,0.4037948826053741,1367.148995140000351967,-0.36232247281845537,71.585212600000005523,-0.493422173747433,262394.393603131175041199
VeeFriends,https://lh3.googleusercontent.com/5y-UCAXiNOFXH551w5bWdZEYOCdHPwbqmcKb-xa3uVQEjQgxvih3HtZWSmzqDqd0uk7kIqFrZhw32Gt6xPBFg4t_n9BKhpou-dwnOg=s120,ETH,15.9,5246,10255,-0.2677040967707012,1417.669800000000122964,-0.4593165798345082,105.854999999999989768,0.2954297391269329,45233.816149370599305257
World of Women,https://lh3.googleusercontent.com/7rQxqp2cAN4J-pFJ6A22Ncb_tm2j6Lz61zXMi9bNJbmAk8PheVXcL4zVIZptVQ8_owbOJAiYuhSbn0vtjwcE4Jg7FQqDGwZTndd-_A=s120,ETH,8.7,5153,10000,0.3078388780774104,1058.466699999999946158,-0.3659846213997132,121.620000000000004547,-0.661416481851137,56339.847053126279206481
HAPE PRIME,https://lh3.googleusercontent.com/5VAunHscTO5Nt8WgCezb0i2oVskplFVhVgwmvISfiWQlrBulCxUL7zCYUkRfVF04_47QmNlpWqqdfVraThlhLBEZjuWzajmYDYc9vOc=s120,ETH,1.73,5715,8192,-0.15946401186349368,457.818975889999990159,0.10610074924278673,69.385699999999999932,-0.9087960236881769,50647.644474117914796807
DentedFeelsNFT,https://lh3.googleusercontent.com/0E-6rL-B-dLFiu-9tipTI7zXaaK0DHEQ4699BVC0nMQ9XRIqgeJ7XrhER-bXYSEsSIex-5CW2fr7bUaCFV-978YiWABy8nKYrxOp=s120,ETH,0.1745,5897,11111,-0.8652475656869352,191.926390863176635548,-0.24195598306619007,14.922899999999996723,0,4039.243386962962631515
RaidParty Fighters,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120,ETH,0.798,585,8119,-0.14120492668964496,1496.147952029341695379,0.6058250860144845,297.497369687789898762,-0.24182682288427956,9334.421736884125493816
Clementines Nightmare,https://lh3.googleusercontent.com/rb3CzNFCXwT3kzh9pxKVnMMegerJAWTblo9A1aQi2ZZeB2Bm9K8-xhdRSrdHktvLMHCTxwAGvdVFsIo7pTwpE4erRNg50sX4_3EWTKo=s120,ETH,0.36,3462,5000,-0.7656834446263948,153.14031471107406901,-0.14116166525135213,9.245999999999998664,0,3890.985365258680303668
Bored Ape Kennel Club,https://lh3.googleusercontent.com/l1wZXP2hHFUQ3turU5VQ9PpgVVasyQ79-ChvCgjoU5xKkBA50OGoJqKZeMOR-qLrzqwIfd1HpYmiv23JWm0EZ14owiPYaufqzmj1=s120,ETH,8.14,5453,9602,1.1705676908904885,1242.703399000000445085,1.5136222514660975,393.477399999999931879,-0.696211628097361,66864.467599379364401102
Do Not Buy! (Old Contract),https://lh3.googleusercontent.com/GgJibqTQ1F9dm55Jy0Ijcln06ttjyvGMJmHq6eRHlnoJbwFxIayLXCpEHnt9Nxviaw0zo9jExN9VLKugf95m3ggAYl-6yN7aToO1=s120,ETH,0,4498,7777,-0.9998449257725996,0.148870000000000086,0.0015,0.0015,0,3545.300362756335289305
Acrocalypse,https://lh3.googleusercontent.com/2A1CFc0BZ_4wmXLeAd-2KgxsRGa_KdkvBRex3BC64HoPnLPzBjPz79xmX5JPq6OXEx8yhc38oGIlh1OjwDqvgU0-Tx_s3P9hAdUY5Fk=s120,ETH,0.51,3760,10025,0.7911278001930103,480.918953396800759492,0.19761346852199457,86.273200000000016985,59.90454873679896,3593.442476683445875096
SkuxxVerse Pass,https://lh3.googleusercontent.com/XwIn-1ZdQpG5KJ9TUIDDvzQxwIdk7xyYnP2077a2Y5bDs8hihErufVuVjYgJXzqnTYtlMMs0z5O-dQVJb9QFRou0gD27D0hfkGxBfg=s120,ETH,0.359,3002,7777,0.013174692725503829,244.574855799999966166,-0.19750447089366832,16.988099999999995759,18603.459662731853,3497.826416593595240556
